date,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C)
07 3 2023,29.1,33.9,25,33.8,38,30.4
07 4 2023,29.8,33.7,25.9,35.3,40.6,31.7
07 5 2023,30,34,26.4,34.5,38.4,31.6
07 6 2023,30,33.6,27,35.2,39.4,31.1
07 7 2023,28.6,33.5,24.8,34.1,41.8,28.9
07 8 2023,29.5,33.6,25.6,34.6,40,30.2
07 9 2023,29.8,34,26,35.1,39.9,31.3
07 10 2023,29.5,33.1,26.3,34.7,39.2,31.6
07 11 2023,29.2,33.8,26.5,34.7,40.1,30.9
07 12 2023,28.3,31.9,26.1,34.2,38,31.3
07 13 2023,26.5,27,26,31.8,33.3,30.3
07 14 2023,25.9,26.6,25.2,29,30.6,27.7
07 15 2023,26.7,28.6,25.5,29.9,31.3,28.3
07 16 2023,26.6,28.9,25,30.6,33.3,27.8
07 17 2023,27.4,29.5,25,32.8,35.2,29.5
07 18 2023,28.7,31.7,26.1,34.6,38.5,30.8
07 19 2023,27.6,30.8,24.5,33.8,38.8,28.8
07 20 2023,27.3,31.1,24.5,33.4,39.8,29.8
07 21 2023,27.3,31.2,25,33.4,38.9,30.4
07 22 2023,27.3,30.7,25,32.9,38,30.2
07 23 2023,26.6,29.9,24.6,31.7,36.6,28.9
