date,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C)
11 3 2024,27.6,31.6,24.1,33,37.1,29.3
11 4 2024,27.4,31.9,24.1,32.8,37.8,29
11 5 2024,26.8,31.5,24,32.2,38.9,28
11 6 2024,26.8,29.6,24.3,32.2,36.1,29.2
11 7 2024,27.1,29.9,24.8,32.8,36.9,30
11 8 2024,27,30.1,23.8,32.5,37,28.2
11 9 2024,26.7,30,23.8,32.7,37.8,29.1
11 10 2024,27.4,30.4,24.6,32.9,35.7,29.6
11 11 2024,27.4,29.4,25.5,31.7,33.4,30.2
11 12 2024,28,31,25.4,33.6,37.3,31
11 13 2024,28.6,31,26.6,34,37.5,32.1
11 14 2024,28.7,31.2,26.2,33.6,35.9,31.5
11 15 2024,29.6,33.2,26,34.7,38.4,31.7
11 16 2024,29.8,33.3,26,34,38.3,30.2
11 17 2024,27.7,29.7,25.9,31.7,33.3,30.1
11 18 2024,28.3,31.7,25.8,33.1,36.9,30
11 19 2024,28.2,32.3,24.8,33.1,37.1,30
11 20 2024,28.4,33.2,24.5,33.1,38.2,29.5
11 21 2024,28.9,33.5,25.5,32.8,37.7,30.1
11 22 2024,29.4,34.2,25.5,32.9,37.3,30.4
11 23 2024,29.3,33.7,25.5,33.1,36.9,30.2
11 24 2024,29.2,33.5,26,33,36.1,30.5
11 25 2024,29.2,32.7,26.5,33,36.6,30.6
11 26 2024,29.7,34.2,26.5,33.4,37.8,30.8
11 27 2024,29.6,34.5,26,33.1,38.5,30.3
11 28 2024,29.5,33.5,26.5,33.2,36.7,30.6
11 29 2024,28.5,30.9,26.9,31.8,33.2,30.2
11 30 2024,27.8,30.9,25,30.7,33.5,28.3
12 1 2024,24.7,25.9,23.8,29.3,31.2,26.4
12 2 2024,25.4,26.9,24,29.9,31.7,27.7
12 3 2024,26.5,29,25,32.4,36.1,30.7
12 4 2024,26.9,29.8,25.5,32.9,37.2,30.6
12 5 2024,27.3,29.8,25,33.3,36.7,29.9
12 6 2024,27.8,31.5,25.2,33.5,37.3,31
12 7 2024,28,31,25.9,34,37.1,31.9
12 8 2024,28.7,31.9,26.2,33.3,36.8,30.8
12 9 2024,27.8,30.5,26.1,31.7,33.7,29.3
12 10 2024,27,29.1,25.3,31.5,33.5,29.7
12 11 2024,26.8,30.2,23.6,31.6,34.4,28.1
12 12 2024,27.5,30.7,25,32.3,34.4,31
12 13 2024,28.2,32.1,25.1,32.7,36.4,30.5
12 14 2024,28.5,33,25,32.6,36.9,30.4
12 15 2024,28.2,31.1,25.9,31.7,33.7,29.9
12 16 2024,27.6,30,25.5,30.4,32.1,28.3
12 17 2024,26.8,29.5,25,30.2,31.3,28.2
12 18 2024,27,30.3,24.4,30,32,27.9
12 19 2024,28.1,31.2,26,30.2,32.7,27.2
12 20 2024,28,31.9,25.2,30.8,33.9,27.9
12 21 2024,26.7,28.8,24.6,30.8,32,28.8
12 22 2024,26.9,29.5,25.2,30.7,32.6,29.6
12 23 2024,26.9,29.5,25,30.6,32.5,28.8
12 24 2024,26.1,29.9,24.5,31.2,35.4,29.5
12 25 2024,24.5,25.5,23.8,29.7,30.9,29.1
12 26 2024,26.6,30,23.9,32.2,35.9,29.2
12 27 2024,27,30.6,24.6,32.2,35.6,29.7
12 28 2024,26,28.9,24.6,30.8,34.5,28.5
12 29 2024,25.6,27.5,24.1,29.1,30.5,27.4
12 30 2024,25.9,29.1,23.9,31.2,34.8,29.2
12 31 2024,27,30.1,24.5,32.8,36.8,30.4
01 1 2025,26.7,29.1,24.9,32.1,35,30.4
01 2 2025,26.9,30,25,32.3,36,28.8
01 3 2025,26.2,29,24,31.6,35.4,28.9
01 4 2025,26.4,29.9,23.6,31.5,36.6,28.2
01 5 2025,25.9,28.9,24,29.3,31.9,26.7
01 6 2025,25.9,29.6,23.5,30.5,35.3,27.5
01 7 2025,26.4,29.6,24.1,30.9,35.2,28.5
01 8 2025,26.3,29.4,24,30,32.8,27.4
01 9 2025,26.8,30.4,24.3,30.2,33.2,28.5
01 10 2025,27,30.5,24.4,30.2,33.9,28
01 11 2025,26.5,29.5,24.6,29.2,31.1,27.4
01 12 2025,25,27,23.6,27.5,29.1,25.6
01 13 2025,24.9,27.4,22.9,28.6,30.3,26.5
01 14 2025,25.9,28.3,23.9,30.5,32.4,28.1
01 15 2025,26.8,30.5,23.8,32,36.3,29.5
01 16 2025,26.6,30,24.2,30.5,33.1,28.5
01 17 2025,26.8,30.3,24.1,29.7,32.9,26.8
01 18 2025,27.1,30.7,24.5,31.1,34.2,28.4
01 19 2025,27.5,30.8,25,31.9,35.8,29.2
01 20 2025,27.1,30.4,24.2,31.8,35.2,28.6
01 21 2025,27.4,31.1,24.5,31.6,35.7,29.7
01 22 2025,27.9,32.2,24.7,31.1,34.8,28.7
01 23 2025,27.9,31.4,25,31.5,36.8,28.6
01 24 2025,28.2,31.4,25.2,32.5,36.6,29.2
01 25 2025,27.9,32,24.2,32.4,36.6,29
01 26 2025,27.8,31.2,25.1,31.5,35.3,29.2
01 27 2025,26.8,30.2,24,29.6,33.9,27.4
01 28 2025,26.3,30.7,23.2,28.8,32.7,26.1
01 29 2025,26.4,29.4,24.2,28.2,30.3,26.5
01 30 2025,24.8,27.7,23.5,27.1,28.7,25.3
01 31 2025,25.6,28.9,23,29.8,32.4,27.2
02 1 2025,27.8,32.1,24.1,31.8,35.6,28.7
02 2 2025,27.7,32.5,23.1,31.8,37,27.2
02 3 2025,27.9,31.1,24.9,31.8,34.9,29.4
02 4 2025,27.2,30.7,25.4,30.5,32.5,29.4
02 5 2025,27,30.5,24.5,29.4,32.2,26.8
02 6 2025,27,30.5,24.5,29.8,33.7,26.4
02 7 2025,26.4,29,24.4,31.2,33,29.4
02 8 2025,26.1,28.8,24.2,29.5,31.4,27.6
02 9 2025,24.9,27.5,22.9,27.8,29.7,25.5
02 10 2025,24.6,26.8,23.1,28.4,31.1,25.6
02 11 2025,25.1,27.4,22.9,29.8,32.8,27.8
02 12 2025,26.7,30.9,23.5,31.1,35.1,28.6
02 13 2025,26.1,29.6,23.6,31.5,36.9,28.4
02 14 2025,26,27,24.9,31.5,33.1,30.4
02 15 2025,26.4,29.8,24.5,32,37.1,29.5
02 16 2025,27,29.8,24.9,32.8,36.5,30.2
02 17 2025,27.1,30.5,24.4,32.8,37.5,29.8
02 18 2025,26.5,29.9,24.4,31.7,36.4,30
02 19 2025,26.7,30,24,30.7,34,28.8
02 20 2025,26.3,30,23.9,30,32.9,28.2
02 21 2025,26,29.1,23.9,30,33.4,28.1
02 22 2025,26.7,30.2,23.9,29.8,33.7,27.7
02 23 2025,27.2,32,23.4,30.4,35,27.3
02 24 2025,27.4,31.5,24,29.9,33.6,27.8
02 25 2025,27.1,30.9,24.6,29.5,32.5,27.6
02 26 2025,27.2,31.6,24.1,29.4,33.7,27
02 27 2025,27.2,32.3,23.8,29.2,34.7,26.8
02 28 2025,27.3,32.7,23.5,29.1,33.5,26.2
03 1 2025,28.5,33.9,24.3,31.7,37.4,28
03 2 2025,29.4,34.2,25.4,33.1,38.5,30
03 3 2025,29.1,33.8,25.7,32.6,38.4,29.8
03 4 2025,28.9,33.2,26.3,32.2,37.1,29.5
03 5 2025,29.2,33,25.9,33.7,39.4,29.9
03 6 2025,29.2,33.2,25.6,33.6,38.1,29.9
03 7 2025,29.1,32.7,26.2,32.6,35.7,30.3
03 8 2025,27.3,29.4,24.5,32,34.3,29.3
03 9 2025,27.9,31,25.3,31.7,34.7,29.8
03 10 2025,28.7,32.1,26.1,32.3,36,30.5
03 11 2025,29.3,33.8,26,33,37.9,30.2
03 12 2025,29.5,34.8,26.5,33,38.2,30.8
03 13 2025,29.8,35,26.1,32.8,37.7,30.5
03 14 2025,29.5,34.5,26,32,37.2,29.2
03 15 2025,29.1,32.8,25.4,31.8,37,28.5
03 16 2025,29.1,32.3,26.1,32.4,36.5,30.2
03 17 2025,29.1,33.1,26.1,32.4,36,30.2
03 18 2025,29,33,26.1,32.9,38.1,30.1
03 19 2025,28.9,33.1,26,32.1,36.4,29.9
03 20 2025,28.1,31.9,25.8,30.3,33.2,28.5
03 21 2025,27.5,31.5,25.3,29.8,32.9,28.2
03 22 2025,27.5,31.5,24.6,29.8,34.1,27.2
03 23 2025,27.6,31.5,24.3,30.2,35,27.3
03 24 2025,28.4,32.2,25,31.8,35.9,28.3
03 25 2025,29.7,34,26.5,33.4,38.5,30.5
03 26 2025,29.8,34,26.2,33.6,38.1,30.8
03 27 2025,30.1,33.8,27.1,34,38.1,30.9
03 28 2025,29.8,34.8,27.1,34.5,40,32.3
03 29 2025,27.7,31,25.9,32.3,35.5,30.5
03 30 2025,28.6,32.9,25.5,33.2,37.8,30.8
03 31 2025,28.7,32.2,25.7,32.8,37.9,29.8
04 1 2025,29.1,32.8,25.9,33.7,38.7,30.1
04 2 2025,30,33.7,26.5,34.2,38.4,31.1
04 3 2025,29.6,33.8,26.5,34.3,39.5,31.6
04 4 2025,29.8,33.7,26.7,33.7,39.5,30.4
04 5 2025,29.2,33.3,26.5,33.8,38.6,30.5
04 6 2025,29.6,33.9,25.9,34,40.5,31
04 7 2025,30.1,35.2,25.6,34.2,40.3,30.4
04 8 2025,30.4,34.3,27.4,34.8,39.7,31.8
04 9 2025,30.6,34.7,27.1,34.1,39,30.9
04 10 2025,30.7,36.9,26.7,34.8,39.8,31
04 11 2025,31.2,35.9,28.5,35.2,40.2,32.7
04 12 2025,31.2,36.2,27.8,35.3,40.4,32.4
04 13 2025,30.5,33.8,28.4,35.8,40.2,33.7
04 14 2025,30.9,34.5,27.2,35.6,39.8,31.9
04 15 2025,30.7,34.2,27.9,35.4,39.4,32.7
04 16 2025,31.1,35.9,27,34.9,39.7,32.5
04 17 2025,31.1,35.8,26.8,34.7,38.9,31.6
04 18 2025,30.9,35.2,26.8,35.1,39.7,31.2
04 19 2025,31.6,36.5,28.1,34.7,39.5,31.9
04 20 2025,31,35.7,26.7,34.8,40.2,30.5
04 21 2025,31.7,36.3,28.3,35.7,41,33.1
04 22 2025,31.2,35.7,27,35.1,39.9,31.7
04 23 2025,31.6,35.6,28.5,36.5,40.6,33.7
04 24 2025,31.3,36,27.4,35.3,39.4,32.7
04 25 2025,31.2,34.8,27.6,34.9,39.4,31.6
04 26 2025,31.3,36.5,27,34.3,40.4,31.2
04 27 2025,31.1,35.8,27.1,34.5,40.6,31.3
04 28 2025,30.2,33.6,27.4,34.5,39.1,30.4
04 29 2025,30.4,34.5,27.4,35.6,40.5,33.1
04 30 2025,31.1,35,27.5,35.5,40.7,32.4
05 1 2025,31.4,35.5,28,35.8,41.5,32.7
05 2 2025,31.2,35.6,27.6,35.9,41.1,32.5
05 3 2025,31.4,35,28.1,35.6,39.5,32.3
05 4 2025,29.6,34.5,27.1,34.3,38.9,32.2
05 5 2025,28.2,32.5,25.5,33.8,38.8,30.9
05 6 2025,28.1,31.6,25.5,34.1,39.4,30.1
05 7 2025,27.8,31.8,25.5,33.8,38.9,31.2
05 8 2025,27.6,30.4,25.5,33.6,36.3,31.2
05 9 2025,28.8,31.5,26.8,34.8,38.6,31.9
05 10 2025,30.4,34.5,27,35.3,38.9,32.3
05 11 2025,30.2,34.1,27.5,35.3,39.5,32.9
05 12 2025,29.3,34.8,25.1,34.6,40.7,29.5
05 13 2025,27.8,32.8,24.5,33.3,39.5,29
05 14 2025,28.7,32.7,25.2,34.5,39.9,30.3
05 15 2025,28.9,32.3,26.1,34.7,39,31.8
05 16 2025,30.7,35,26.9,35,39.1,31.9
05 17 2025,31.4,35.6,27.1,35.8,41.4,33
05 18 2025,31.8,36.2,27.8,35.5,41.1,32.5
05 19 2025,31.9,36.5,27.8,35.4,40.3,32.3
05 20 2025,31.9,36.2,28.4,35.6,40.1,32.9
05 21 2025,31.6,35.3,27.9,34.9,39.3,31.6
05 22 2025,32,36,28.4,36,41.2,32.5
05 23 2025,32,36.2,28.5,35.7,40,32.9
05 24 2025,32,36.1,28.6,35.9,41.2,33.2
05 25 2025,31.5,35,28.2,35.5,40.2,32.6
05 26 2025,31.6,35.5,28.3,35.8,40.6,32.7
05 27 2025,31.9,36.5,28.2,35.7,41.2,32.1
05 28 2025,30.2,33.2,28,34,36.9,32.2
05 29 2025,29.9,31.3,28.1,34.2,35.6,33
05 30 2025,29.6,31.8,27.5,34.2,36.4,32.9
05 31 2025,27.7,30.4,26,33.4,36.4,31.5
06 1 2025,28.1,30.4,26,33.2,35.9,30.7
06 2 2025,28.4,31.1,26.9,32.8,35.9,30.2
06 3 2025,28.2,30.8,26.5,33.3,36.6,31.2
06 4 2025,28,30.8,25.8,33.5,37.2,30.8
06 5 2025,27.9,31.2,25.8,34,38.7,31.2
06 6 2025,27.8,31.4,25.3,33.9,39.5,29.9
06 7 2025,27,29.8,25.2,32.9,36.8,30.9
06 8 2025,26.7,28.7,24.6,32,34.5,29.4
06 9 2025,27.7,30.2,25.9,32.9,36.9,30.9
06 10 2025,27.2,30,26,32.7,35.9,30.9
06 11 2025,26.6,27.7,25.8,32.1,33.4,30.9
06 12 2025,27.1,28.4,26,32.6,33.6,31.7
06 13 2025,28.9,31.4,26.9,34.7,38.8,32.4
06 14 2025,29.7,33,26.8,35.7,40.6,32.6
06 15 2025,29.3,33.5,26.3,34.8,39.5,31
06 16 2025,28.9,32.6,25.8,34.1,38.4,30.7
06 17 2025,27.3,29.9,25.2,32.7,36.5,30.5
06 18 2025,26.3,28.5,24.2,31.7,33.7,29.4
06 19 2025,28.4,31.8,25,33.9,37.1,30.5
06 20 2025,28.2,31.5,25.6,33.8,37.4,31.5
06 21 2025,27.3,31.6,24.9,32.6,38,29
06 22 2025,26.9,30.7,24.6,32.4,37.3,29.3
06 23 2025,26.7,28.3,25.5,32.5,34.4,30.9
06 24 2025,27,31,25.4,32.7,37.2,30.6
06 25 2025,27.8,30.7,25,33.7,37.9,30.3
06 26 2025,27.6,30.3,25.6,33.3,36.7,30.7
06 27 2025,26.8,29,24.5,32.3,35,28.7
06 28 2025,27.1,29.8,24.6,32.6,36.7,29.7
06 29 2025,26.9,28.3,25.5,32.2,34.2,31.1
06 30 2025,26.6,28.8,25.1,32.1,35.8,30
07 1 2025,27,29,25,32.8,35.7,30.8
07 2 2025,27.3,29.3,26.1,32.7,36.3,31.1
07 3 2025,26.2,26.7,24.9,30,32,28.2
07 4 2025,27.4,30,25.7,32.1,36,29.1
07 5 2025,27.1,29.1,26.1,32.1,33.9,30.8
07 6 2025,27.5,29,26.4,31.9,34,30.3
07 7 2025,28.2,30.3,26.6,32.5,35.1,31.3
07 8 2025,27.6,29.1,25.9,31.9,34.5,30.1
07 9 2025,27.4,29.5,26,31.2,33.7,29.7
07 10 2025,27.6,30,25.7,31.1,34,29
07 11 2025,27.6,29.5,26.2,32.2,34.7,30.4
07 12 2025,27.6,29.8,26,33.1,36.1,31.4
07 13 2025,28.3,30.4,25.8,34.1,37.4,32.1
07 14 2025,28.7,31.2,27.1,34,36.8,32.3
07 15 2025,27.8,30.1,26.4,32.8,36,31
07 16 2025,27.5,30.3,25.6,33.2,37.6,31.1
07 17 2025,26.7,28.1,25.9,32.4,34.1,31
07 18 2025,26.3,27,25.8,31.3,32.3,29.7
07 19 2025,26.2,27.2,25.5,28.7,30.6,27.5
07 20 2025,26.8,28.8,25.1,29.9,32.5,27.6
07 21 2025,26.2,27,25.4,29.7,30.7,28.5
07 22 2025,26.2,27.6,24.9,29.9,31.4,28.7
07 23 2025,25.9,27.1,24.8,29.1,30.9,27.5
07 24 2025,25.9,27.4,24.8,28.6,30.9,27.1
07 25 2025,26.8,28.3,25.3,29.5,32,27.1
07 26 2025,27.3,28.9,26.2,30.5,31.7,29.4
07 27 2025,27.4,29.1,26.4,30.6,32.7,28.9
07 28 2025,27.6,29.2,26.2,29.4,30.6,27.7
07 29 2025,28.3,29.8,27.1,30.4,32.5,28.9
07 30 2025,28.6,29.9,27.4,31.1,33,29.6
07 31 2025,29.1,30.8,28.1,31.9,34.7,30.3
08 1 2025,29.4,31.2,28,32.8,35.6,30.8
08 2 2025,29.8,31.9,28.2,33.8,36.7,32.4
08 3 2025,29.6,32.6,26.6,34.6,38.2,32.6
08 4 2025,30,33.2,26.8,34.9,38,32.8
08 5 2025,29.3,33.2,27.5,34.6,38.7,32.3
08 6 2025,27.2,32.2,24.1,31.9,37.8,27.9
08 7 2025,27.5,30.2,25.4,32.3,36.4,29.8
08 8 2025,28.1,30.8,25,32.5,36.1,29.1
08 9 2025,29.3,31.5,27,33.6,35.7,32.1
08 10 2025,29.6,32.8,27.2,34.3,37.6,32.8
08 11 2025,29.4,32.6,26.6,34.5,38.2,31.7
08 12 2025,27.9,31.5,25.3,33,37.9,29.3
08 13 2025,27.9,31.6,25.5,32.8,36.9,30.5
08 14 2025,27.1,30.8,25.5,32.6,38,30.7
08 15 2025,26.2,29.7,24.8,31.4,35.7,29.7
08 16 2025,26.4,28.5,24.5,31.6,33.5,28.8
08 17 2025,27.4,30.5,26,33.3,38.2,31.3
08 18 2025,28.3,31.8,24.9,34,40,29.8
08 19 2025,28,32.5,24.4,34,39.9,29.4
08 20 2025,29,32.3,26.4,34.8,39.8,31.9
08 21 2025,26.8,29.4,24.8,32,34.5,29.6
08 22 2025,25.4,27,24.2,29.7,31,27.9
08 23 2025,26.1,27.6,24.2,30.8,32.5,28.3
08 24 2025,27.2,30.2,25.2,33,37.6,30.6
08 25 2025,26.2,29.3,24.2,31.3,35.9,28.2
08 26 2025,25.3,27.1,23.9,30.1,32.2,27.9
08 27 2025,26.5,29.7,24.2,32.2,37,29.3
08 28 2025,26.9,30.9,25.2,32.4,38.2,30.4
08 29 2025,26.5,29.3,24.4,32.1,36.7,29.6
08 30 2025,26.9,30,24.6,32.7,37.5,29.4
08 31 2025,26.4,28,25.4,32.3,34.3,31.2
09 1 2025,25.6,27.5,24,30.9,32.3,29.1
09 2 2025,26.6,28.4,25.1,31.4,32.8,30.7
09 3 2025,27.3,28.6,26,31.5,33.1,30.1
09 4 2025,27.3,28.9,25.6,31.7,33.8,30.1
09 5 2025,26.3,27.5,25,30.6,31.6,29.4
09 6 2025,26.2,28.4,25.1,31.6,33.9,30.4
09 7 2025,27.2,31.2,24.5,32.7,38,28.8
09 8 2025,27,29.7,25.1,32.9,35.3,30.7
09 9 2025,26.5,29.1,23.9,32.2,35.6,28.6
09 10 2025,25.9,26.5,25.1,31.6,32,30.7
09 11 2025,26.8,30,24.9,32.2,35.9,29.6
09 12 2025,27.1,29.9,25.3,32.9,38.3,30.6
09 13 2025,26.9,29.5,25,32.9,37.2,30
09 14 2025,25.9,27,24.8,31.1,32.7,29.4
09 15 2025,26.7,29.3,25.2,32.8,36.7,31
09 16 2025,26,28.2,25.1,31.6,34.5,30.3
09 17 2025,26.2,28.2,24.9,31.9,34.1,30.5
09 18 2025,26.7,30,24.8,32.8,37.8,30.4
09 19 2025,26.8,28.8,25,32.5,34.5,30.4
09 20 2025,27,29.3,25.2,32.3,34.4,30.7
09 21 2025,26.4,29.2,24.2,31.1,36.2,28.9
09 22 2025,26.2,27.2,25.5,28.6,30.2,26.5
09 23 2025,25.9,28.1,25,28.9,31.4,27.3
09 24 2025,26.1,28.5,24.9,31.8,35,30.4
09 25 2025,26.5,30.3,24.1,32.4,38,29.4
09 26 2025,26.5,28.6,24.5,30.1,33,28.4
09 27 2025,27.8,30.2,25.7,32,35.2,28.7
09 28 2025,27.3,30.2,25,33.2,38.1,30.3
09 29 2025,26.5,28.9,25.1,32.1,34.7,30.4
09 30 2025,26.1,29,24.6,32,36.1,30.3
10 1 2025,27,31,24.3,33,37.3,29.8
10 2 2025,27.2,30,25.4,33.1,37.3,31
10 3 2025,25.6,26.5,24.4,29.5,31.9,27.4
10 4 2025,26.7,30.3,24.3,32.1,37,28
10 5 2025,26.9,30,24.2,32.6,37.6,28.9
10 6 2025,27.2,29.9,25.3,32.8,36.9,30.9
10 7 2025,27.6,30.7,25.5,32.9,37.5,30.1
10 8 2025,26.9,29.4,25.2,32.5,36.3,29.9
10 9 2025,26.1,28.3,24,31.5,34.6,28.5
10 10 2025,25.9,28,24.8,31.7,35.2,30.2
10 11 2025,26.7,29,24.5,32.6,36.3,30
10 12 2025,27.6,30.2,25.5,33.7,37.6,30.7
10 13 2025,26.3,29.2,25.1,32.2,36.6,30.4
10 14 2025,26.8,28.4,25.1,32.5,34.3,30.7
10 15 2025,26.5,28.4,25.1,32.1,34.2,30.5
10 16 2025,28.5,32.5,25.7,33.3,37,31
10 17 2025,29.5,33.4,25.9,34.4,38.5,31.3
10 18 2025,29.2,31.6,27.6,33.2,36.4,31.4
10 19 2025,25.8,26.7,24.8,30.3,31.7,29.1
10 20 2025,28.6,32.3,26.1,33.3,37.6,30.4
10 21 2025,28.3,30.5,26,34.8,37.8,31.9
10 22 2025,28.3,31.1,26.2,34.8,38.2,32.5
10 23 2025,28.6,31.9,26.4,34.7,38.4,32.2
10 24 2025,27.8,31.1,25.6,33.2,36.9,30.7
10 25 2025,27.9,30.6,25.5,33.9,37.9,31
10 26 2025,27.7,30,26.2,33.6,35.8,32.5
10 27 2025,27.3,30.5,25.6,33.6,38.5,31.4
10 28 2025,27.9,31.5,25.5,33.6,38.7,30.6
10 29 2025,27.4,29.9,25.2,33.7,37.6,31.2
10 30 2025,26,28,24.2,31.7,34.7,29.3
10 31 2025,28.1,31.2,25,34.1,37.3,30.1
11 1 2025,28.6,32.2,26.1,34.4,36.8,31.8
11 2 2025,28.3,31.5,26,34.2,39,32
11 3 2025,26.2,29.5,24.2,31.2,35,27.9
11 4 2025,26.4,27.7,25.4,30.9,32.6,29
11 5 2025,27.9,30.5,25.8,32,34.4,30
11 6 2025,28.5,31.2,26.2,33.5,36.6,30
11 7 2025,27.7,30.9,25.7,33.8,38.3,31.4
11 8 2025,27.8,31,24.5,33.3,36.2,29.8
11 9 2025,26.1,27,24.2,28.6,30.9,27.1
11 10 2025,27.3,29.1,26,29.2,33.5,26.5
11 11 2025,27.6,29.8,25.5,31.3,34.3,27.5
11 12 2025,27.8,29.7,25,33.7,36.2,31
11 13 2025,27.7,30.4,25.2,32.7,36.6,29.8
11 14 2025,27,29.9,24.5,32.2,36.1,28.7
11 15 2025,27.7,31.2,25.4,33,36.3,31.3
11 16 2025,28.1,31.6,25.2,32.9,35.9,30.8
11 17 2025,28.4,32.6,25.8,33.5,37.3,31
11 18 2025,28.7,32.2,26.1,33.2,36.6,30.2
11 19 2025,28.3,32.2,25,32.9,36.5,29.6
11 20 2025,28.5,31.9,26.6,32.8,36,30.5
11 21 2025,29,32.2,26.5,33.5,37.3,31.4
11 22 2025,28.5,31.8,24.6,32.2,34.8,29.3
11 23 2025,28.7,31.9,26.4,32.4,35.8,30.2
11 24 2025,28.9,32,27,32.4,35.2,30.4
11 25 2025,25.8,27,24.5,30.3,31.9,27.6
11 26 2025,27.5,30.7,24.8,32,34.8,29.8
11 27 2025,26.7,30.4,24.8,32.9,37.9,30.5
11 28 2025,26.9,29,25.2,32.8,34.8,30.6
11 29 2025,26.3,29.9,25,32,37.2,30.2
11 30 2025,26.6,30.1,24.5,32.2,37.4,29.4
12 1 2025,26.5,29.6,24.7,31.8,35.6,29.8
12 2 2025,26.8,29.6,24.5,32.7,37,30
12 3 2025,27.3,30,25.2,33.1,37.2,30.9
12 4 2025,27.3,30.5,25,30.8,33.6,29.3
12 5 2025,26.8,30.4,24.1,28.8,32,25.9
12 6 2025,26.8,30.6,23.3,28.9,33.2,25.5
12 7 2025,26.2,28.6,24,28.8,30.4,27.1
12 8 2025,27.2,30.1,24.2,31.5,34.5,28.6
12 9 2025,25.8,28.5,24,30.9,33.2,28.5
12 10 2025,26.7,30,23.2,31.9,36.1,27.6
12 11 2025,27,30.2,25.5,32.1,35.9,29.6
12 12 2025,27.8,30.6,25.4,32.2,34.5,30.4
12 13 2025,28.1,32,25.6,32,35.7,29.4
12 14 2025,27.8,31.2,25.2,31.5,35.1,29.6
12 15 2025,26.4,30.1,24.8,30.3,32.6,27.5
12 16 2025,27,30.8,24.8,31.5,35.5,27.6
12 17 2025,25.9,28.7,24,30.5,33.5,27.5
12 18 2025,26.7,29.9,24.5,31.4,34.8,28.8
12 19 2025,26.8,30.9,24.5,31.3,35.4,28.5
12 20 2025,26.4,30.5,24.5,30.6,33.8,28.4
12 21 2025,26.1,29.6,24.5,31.1,35.4,29.1
12 22 2025,26,27.6,24.9,31.1,33.6,29.3
12 23 2025,26.1,29.9,24.2,31,34.5,28
12 24 2025,26.3,29.5,24.2,31.4,36.2,28.2
12 25 2025,26.2,29.2,23.9,31.3,35.1,28
12 26 2025,26.7,29.9,24.4,32.1,36.5,29.5
12 27 2025,26.6,29.9,24,31.6,36,28.6
12 28 2025,27,29.8,24.1,31.6,34.8,28.2
12 29 2025,27.6,30.8,23.7,31.8,35.3,27.6
12 30 2025,28,31.4,24.6,31.9,35.6,28.2
12 31 2025,27.5,30,25.1,31.6,35,29.4
01 1 2026,27,30.5,24,31.5,35.3,28.8
01 2 2026,24.8,27.6,23.4,29.1,31.6,27.1
01 3 2026,25,27.4,23.6,28,29.8,26.3
01 4 2026,25.1,28.6,22.5,28,30.6,24.7
01 5 2026,25.4,28.9,22.9,29.4,33.4,25.7
01 6 2026,25.5,27.4,24.1,30.2,32.4,28
01 7 2026,26.3,29.8,23.9,29.4,32.9,26.4
01 8 2026,25.9,28.4,23.5,29.2,31.8,26.5
01 9 2026,26.3,29.1,24.8,28.8,30.9,26.3
01 10 2026,26.2,30.3,23.6,29.8,33.8,26.5
01 11 2026,26.8,30.5,24.1,30.9,35.5,28.6
01 12 2026,26.6,30.5,24,29.2,32.7,26.3
01 13 2026,26.1,28.8,23.9,30.5,33.4,27.9
01 14 2026,26,29.8,24.2,30.4,34.8,27.7
01 15 2026,25.8,28.4,23.6,30.1,32.2,28
01 16 2026,27,31.1,23.7,30.2,33.6,26.7
01 17 2026,26.1,28.6,23.8,29.4,30.9,26.8
01 18 2026,26.8,29.8,23.9,30.2,33.6,26.8
01 19 2026,27.2,29.8,25,31,33.8,29.1
01 20 2026,26.9,30.2,24,30.5,34.3,27.5
01 21 2026,26.4,30.5,24,29.1,33.3,26.6
01 22 2026,25.7,30.2,22.8,27.1,32.1,24.7
01 23 2026,25.7,30,22.6,26.8,30.3,24.6
01 24 2026,25.4,29.2,22.4,26.8,30.6,24
01 25 2026,25.9,30.1,22.4,27.8,31.7,24.6
01 26 2026,26,28.5,23,29.2,32,25.2
01 27 2026,26.3,29.1,24.8,30.8,33.9,29.4
01 28 2026,26.3,29.7,23.5,29.5,34.1,27.2
01 29 2026,26.1,30.4,22.6,27.8,31.6,25.6
01 30 2026,25.7,29.6,22.6,28.1,32,25.5
01 31 2026,25.8,30.1,22.8,28.4,32.5,25
02 1 2026,26.5,30.8,23.5,28.7,33.6,25.9
02 2 2026,27.1,30.8,23.9,29.3,33.4,26.2
02 3 2026,27.2,31.3,23.9,28.8,32.6,26.3
02 4 2026,26.9,31.3,23.4,28.8,32.4,26.1
02 5 2026,27,31.9,22.6,28.7,32.5,24.8
02 6 2026,26.8,31.1,23.1,28.7,32.2,24.7
02 7 2026,26.3,28.9,24.5,29.8,32,27
02 8 2026,25.7,27.2,24.5,29.2,30.9,27.2
02 9 2026,24.7,27.2,23,27.2,28.9,25.7
02 10 2026,25.5,30.2,22.4,28.5,32.8,26.1
02 11 2026,26.4,30,23.2,30.1,34.3,26
02 12 2026,27.2,30.9,25,30.2,34.3,28.4
02 13 2026,27.8,32.2,24.5,30.8,35.1,27.9
02 14 2026,25.7,28.9,23.7,30.6,34.6,28.1
02 15 2026,26.3,30.1,23.8,31.9,37.1,28.6
